due,week,keyword,category,type,difficulty,season,money
2026-09-01,1,근로장려금 지급일,정책지원금,info,하,8월/12월,애드센스
2026-09-03,1,자동차세 연납 할인,세금환급,info,하,1월/3월,애드센스
2026-09-06,1,휴면예금 조회 방법,생활금융,info,하,연중,애드센스
2026-09-08,2,공동인증서 발급 방법,생활정보,info,하,연중,애드센스
2026-09-10,2,가습기 관리 방법,리뷰쇼핑,info,하,11~2월,쿠팡
2026-09-13,2,에너지바우처 신청방법,정책지원금,info,하,10~12월,애드센스
2026-09-15,3,재산세 납부기간,세금환급,info,하,7월/9월,애드센스
2026-09-17,3,미환급금 찾기,생활금융,info,중,연중,애드센스
2026-09-20,3,정부24 서류 발급,생활정보,info,하,연중,애드센스
2026-09-22,4,공기청정기 필터 교체주기,리뷰쇼핑,info,하,연중,쿠팡
2026-09-24,4,지역화폐 할인 사용처,정책지원금,info,하,연중,애드센스
2026-09-27,4,연말정산 인적공제 기준,세금환급,info,중,1월,애드센스
2026-09-29,5,통신비 절약 방법,생활금융,info,중,연중,애드센스
2026-10-01,5,전입신고 온라인,생활정보,info,하,2~3월,애드센스
2026-10-04,5,무선청소기 추천 기준,리뷰쇼핑,compare,중,연중,쿠팡
2026-10-06,6,근로장려금 신청자격,정책지원금,info,중,5월/9월,애드센스
2026-10-08,6,월세 세액공제 신청방법,세금환급,info,중,1~2월,애드센스
2026-10-11,6,알뜰폰 요금제 고르는 법,생활금융,compare,중,연중,제휴
2026-10-13,7,자동차 검사 예약,생활정보,info,하,연중,애드센스
2026-10-15,7,로봇청소기 실사용 후기,리뷰쇼핑,review,중,연중,쿠팡
2026-10-18,7,자녀장려금 조건,정책지원금,info,중,5월,애드센스
2026-10-20,8,건강보험료 조정신청,세금환급,info,중,연중,애드센스
2026-10-22,8,전기요금 누진세 구간,생활금융,info,중,6~8월,애드센스
2026-10-25,8,여권 재발급 준비물,생활정보,info,하,연중,애드센스
